,Project/Repository Group,BF,BF%,Bus/Elephant Factor Users,Oth. #,Oth. %,Top 10 %,Top Users,Rem. #,Rem. %,level
0,Aeraki Mesh,3,52.54,"tanjunchen, zhaohuabing, panniyuyu",14,47.46,88.14,"tanjunchen, zhaohuabing, panniyuyu, huanghuangzym, mark8s, woluohenga, Xunzhuo, whitefirer, gaohongbin, panchal20bhavin",7,11.86,Sandbox
1,Akri,3,60.24,"johnsonshih, diconico07, jbpaux",11,39.76,95.18,"johnsonshih, diconico07, jbpaux, harrison-tin, kate-goldenring, yujinkim-msft, adithyaj, leolumicrosoft, karok2m, Rishit-dagli",4,4.82,Sandbox
2,Antrea,7,53.94,"luolanzone, antoninbas, tnqn, reachjainrahul, hongliangl, wenyingd, ceclinux",54,46.06,64.38,"luolanzone, antoninbas, tnqn, reachjainrahul, hongliangl, wenyingd, ceclinux, Anandkumar26, XinShuYang, shenmo3",51,35.62,Sandbox
3,Argo,57,50.16,"crenshaw-dev, flaviuvadan, zachaller, 34fathombelow, terrytangyuan, pdrastil, alexef, elliotgunton, fengshunli, jmeridth",984,49.84,23.76,"crenshaw-dev, flaviuvadan, zachaller, 34fathombelow, terrytangyuan, pdrastil, alexef, elliotgunton, fengshunli, jmeridth",1031,76.24,Graduated
4,Armada,7,54.86,"dave-gantenbein, severinson, ClifHouck, JamesMurkin, kannon92, d80tb7, carlocamurri",41,45.14,69.44,"dave-gantenbein, severinson, ClifHouck, JamesMurkin, kannon92, d80tb7, carlocamurri, Sharpz7, dejanzele, zuqq",38,30.56,Sandbox
5,Artifact Hub,3,55.17,"cynthia-sg, tegioz, Skiepp",10,44.83,89.66,"cynthia-sg, tegioz, Skiepp, stranljip, QuanZhang-William, tibuntu, marcofranssen, jpetazzo, neilprosser, Omkar0114",3,10.34,Sandbox
6,Athenz,5,51.46,"havetisyan, WindzCUHK, mendi160, jimmytsang, t4niwa",24,48.54,69.9,"havetisyan, WindzCUHK, mendi160, jimmytsang, t4niwa, mlajkim, ctyano, noy93845, OferLevi85, ysknkd",19,30.1,Sandbox
7,Backstage,32,50.06,"Rugvip, freben, benjdlambert, awanlin, adamdmharvey, punkle, jhaals, pjungermann, drodil, luchillo17",625,49.94,33.89,"Rugvip, freben, benjdlambert, awanlin, adamdmharvey, punkle, jhaals, pjungermann, drodil, luchillo17",647,66.11,Incubating
8,BFE,2,60.0,"clarinette9, loheagn",4,40.0,100.0,"clarinette9, loheagn, yorelog, xqbumu, mileszhang2016, mengtao97",0,0.0,Sandbox
9,Brigade,1,83.33,chalin,1,16.67,100.0,"chalin, shubham1172",0,0.0,Archived
10,Buildpacks,4,56.22,"natalieparellano, joe-kimmel-vmw, AidanDelaney, jjbustamante",68,43.78,72.61,"natalieparellano, joe-kimmel-vmw, AidanDelaney, jjbustamante, jkutner, dlion, jabrown85, tomkennedy513, itsdarshankumar, hone",62,27.39,Incubating
11,Capsule,2,52.0,"prometherion, oliverbaehler",23,48.0,85.0,"prometherion, oliverbaehler, MaxFedotov, zvlb, sagar-jadhav, maxgio92, slimm609, nvanrymenant, aslafy-z, logikone",15,15.0,Sandbox
12,Carina,3,58.62,"antmoveh, zhangkai8048, wongearl",8,41.38,98.28,"antmoveh, zhangkai8048, wongearl, redref, fanhaouu, ZhangZhenhua, hwdef, guoguodan, snwyc, duanhongyi",1,1.72,Sandbox
13,Carvel,5,53.85,"sethiyash, praveenrewar, joaopapereira, rohitagg2020, kumaritanushree",52,46.15,75.0,"sethiyash, praveenrewar, joaopapereira, rohitagg2020, kumaritanushree, neil-hickey, microwavables, 100mik, vmunishwar, aaronshurley",47,25.0,Sandbox
14,cert-manager,4,54.11,"SgtCoDFish, inteon, wallrj, irbekrm",188,45.89,68.67,"SgtCoDFish, inteon, wallrj, irbekrm, maelvls, JoshVanL, lucacome, jahrlin, sathyanarays, bmsiegel",182,31.33,Incubating
15,ChaosBlade,3,59.02,"sunny0826, Yuaninga, MandssS",14,40.98,88.52,"sunny0826, Yuaninga, MandssS, binbin0325, Icesource, tiny-x, hengyoush, xxm404, slievrly, laserproall",7,11.48,Sandbox
16,Chaos Mesh,3,63.36,"g1eny0ung, STRRL, cwen0",54,36.64,75.95,"g1eny0ung, STRRL, cwen0, FingerLeader, nioshield, Andrewmatilde, YangKeao, fasmat, xlgao-zju, akshaiks22",47,24.05,Incubating
17,Cilium,19,50.93,"julianwiedmann, sayboras, tklauser, michi-covalent, pchaigno, brb, giorio94, aanm, mhofstetter, jrajahalme",437,49.07,35.11,"julianwiedmann, sayboras, tklauser, michi-covalent, pchaigno, brb, giorio94, aanm, mhofstetter, jrajahalme",446,64.89,Incubating
18,Cloud Custodian,12,51.9,"kapilt, thisisshi, ajkerrigan, evhenyshaliov, kentnsw, jasgrover, PratMis, dslagle, djeebus, hiteshmck",107,48.1,48.1,"kapilt, thisisshi, ajkerrigan, evhenyshaliov, kentnsw, jasgrover, PratMis, dslagle, djeebus, hiteshmck",109,51.9,Incubating
19,Cloud Deployment Kit for Kubernetes,2,62.92,"iliapolo, vinayak-kukreja",30,37.08,86.52,"iliapolo, vinayak-kukreja, ryparker, sumupitchayan, yfried, njlaw, ShubhikaBhardwaj, mrgrain, dancmeyers, wyvernzora",22,13.48,Sandbox
20,CloudEvents,7,51.14,"duglin, jskeet, sasha-tkachev, yanmxa, lholmquist, alexec, JemDay",64,48.86,57.39,"duglin, jskeet, sasha-tkachev, yanmxa, lholmquist, alexec, JemDay, aaron-ai, embano1, JieDing",61,42.61,Incubating
21,Clusternet,2,50.31,"dixudx, lmxia",31,49.69,75.46,"dixudx, lmxia, yinsenyan, silenceper, autumn0207, DanielXLee, abstractmj, jasine, zxbyoyoyo, Sad-polar-bear",23,24.54,Sandbox
22,Clusterpedia,3,56.38,"Iceber, cleverhu, scydas",31,43.62,81.91,"Iceber, cleverhu, scydas, calvin0327, RuliXu, khareyash05, lengrongfu, wzshiming, wuyingjun-lucky, ONE7live",24,18.09,Sandbox
23,CNCF,104,50.06,"taylorwaggoner, nate-double-u, Swil78, rtheis, electrocucaracha, castrojo, cjyabraham, aliok, hswong3i, fdegir",906,49.94,17.12,"taylorwaggoner, nate-double-u, Swil78, rtheis, electrocucaracha, castrojo, cjyabraham, aliok, hswong3i, fdegir",1000,82.88,-
24,CNI,8,50.51,"mmorel-35, squeed, maiqueb, mmirecki, mlguerrero12, mccv1r0, EmilyShepherd, austinvazquez",44,49.49,55.56,"mmorel-35, squeed, maiqueb, mmirecki, mlguerrero12, mccv1r0, EmilyShepherd, austinvazquez, MikeZappa87, SirPhuttel",42,44.44,Incubating
25,Confidential Containers,10,51.11,"Xynnn007, stevenhorsman, wainersm, bpradipt, mythi, fidencio, gaojiaqi7, jialez0, snir911, fitzthum",75,48.89,51.11,"Xynnn007, stevenhorsman, wainersm, bpradipt, mythi, fidencio, gaojiaqi7, jialez0, snir911, fitzthum",75,48.89,Sandbox
26,containerd,22,50.84,"changweige, thaJeztah, AkihiroSuda, dcantah, austinvazquez, djdongjin, sctb512, mxpv, dmcgowan, Iceber",292,49.16,33.14,"changweige, thaJeztah, AkihiroSuda, dcantah, austinvazquez, djdongjin, sctb512, mxpv, dmcgowan, Iceber",304,66.86,Graduated
27,ContainerSSH,2,58.33,"hezhizhen, kemingy",5,41.67,100.0,"hezhizhen, kemingy, nikhilchauhangithub, gaocegege, tsipinakis, janosdebugs, hongkunyoo",0,0.0,Sandbox
28,Contour,2,64.45,"skriss, sunjayBhatia",60,35.55,83.2,"skriss, sunjayBhatia, izturn, tsaarni, fangfpeng, yanggangtony, clayton-gonsalves, vmw-yingy, Vishal-Chdhry, Jean-Daniel",52,16.8,Incubating
29,CoreDNS,20,50.55,"chrisohaver, Tantalor93, yongtang, mariuskimmina, snail2sky, sanyo0714, pschou, fuhry, slayer1366, SuperQ",76,49.45,39.56,"chrisohaver, Tantalor93, yongtang, mariuskimmina, snail2sky, sanyo0714, pschou, fuhry, slayer1366, SuperQ",86,60.44,Graduated
30,Cortex,5,52.21,"yeya24, alanprot, friedrichg, alvinlin123, dogukanteber",46,47.79,69.08,"yeya24, alanprot, friedrichg, alvinlin123, dogukanteber, harry671003, danielblando, wgliang, damnever, wenxu1024",41,30.92,Incubating
31,CRI-O,3,56.73,"saschagrunert, haircommander, sohankunkerkar",83,43.27,74.53,"saschagrunert, haircommander, sohankunkerkar, littlejawa, kolyshkin, adrianreber, klihub, mrunalp, dfr, wgahnagl",76,25.47,Graduated
32,Crossplane,10,50.06,"plumbis, phisco, negz, hasheddan, MisterMX, turkenh, haarchri, bobh66, ezgidemirel, nicoleblom",196,49.94,50.06,"plumbis, phisco, negz, hasheddan, MisterMX, turkenh, haarchri, bobh66, ezgidemirel, nicoleblom",196,49.94,Incubating
33,CubeFS,8,53.4,"sejust, leonrayang, baijiaruo, pengtianyue025, Victor1319, JasonHu520, setcy, true1064",48,46.6,60.57,"sejust, leonrayang, baijiaruo, pengtianyue025, Victor1319, JasonHu520, setcy, true1064, NaturalSelect, tangdeyi",46,39.43,Incubating
34,Curiefense,3,56.07,"tzuryby, arbelaxRbz, Freakachoo",13,43.93,91.91,"tzuryby, arbelaxRbz, Freakachoo, bartavelle, yoavkatzman, xavier-rbz, shaisgv, shalhevetm, bmwant, Rileran",6,8.09,Sandbox
35,Curve,6,50.75,"Cyber-SiKu, SeanHai, wuhongsong, ilixiaocui, caoxianfei1, wu-hanqing",67,49.25,61.19,"Cyber-SiKu, SeanHai, wuhongsong, ilixiaocui, caoxianfei1, wu-hanqing, Xinlong-Chen, Wine93, 201341, jolly-sy",63,38.81,Sandbox
36,Dapr,8,51.13,"ItalyPaleAle, berndverst, JoshVanL, shubham1172, hhunter-ms, artursouza, mukundansundar, mcandeia",244,48.87,56.88,"ItalyPaleAle, berndverst, JoshVanL, shubham1172, hhunter-ms, artursouza, mukundansundar, mcandeia, pravinpushkar, yaron2",242,43.12,Incubating
37,Devfile,5,55.88,"amisevsk, michael-valdron, schultzp2020, kim-tsao, mike-hoang",40,44.12,77.45,"amisevsk, michael-valdron, schultzp2020, kim-tsao, mike-hoang, thepetk, AObuchow, musienko-maxim, yangcao77, josephca",35,22.55,Sandbox
38,DevSpace,2,63.16,"lizardruss, lianmakesthings",6,36.84,100.0,"lizardruss, lianmakesthings, 89luca89, dtomasi, alexandradragodan, pauleHeisster, Juneezee, FabianKramm",0,0.0,Sandbox
39,DevStream,3,72.25,"steinliber, aFlyBird0, daniel-hutao",16,27.75,94.8,"steinliber, aFlyBird0, daniel-hutao, IronCore864, Arhell, KeHaohaoke, 0zyt, algobot76, Shuimo03, yxxhero",9,5.2,Sandbox
40,Dex,9,52.11,"nabokihms, sagikazarmark, seankhliao, jkroepke, sgmccullough, linuxliker, jsoref, dlipovetsky, FernandezBenjamin",29,47.89,54.93,"nabokihms, sagikazarmark, seankhliao, jkroepke, sgmccullough, linuxliker, jsoref, dlipovetsky, FernandezBenjamin, erwinvaneyk",28,45.07,Sandbox
41,Distribution,4,50.67,"thaJeztah, milosgajdos, DavidSpek, flavianmissi",52,49.33,64.0,"thaJeztah, milosgajdos, DavidSpek, flavianmissi, ndeloof, lyj0309, wy65701436, Jamstah, brackendawson, stonezdj",46,36.0,Sandbox
42,Dragonfly,2,50.22,"gaius-qi, jiangliu",79,49.78,79.97,"gaius-qi, jiangliu, jim3ma, imeoer, fcgxz2003, changweige, adamqqqplay, jackHU1998, Desiki-high, ccx1024cc",71,20.03,Incubating
43,Emissary-ingress,3,56.15,"LanceEa, LukeShu, haq204",32,43.85,77.69,"LanceEa, LukeShu, haq204, d6e-automaton, ddymko, rick-a-lane-ii, tenshinhigashi, AliceProxy, antonu17, eevdev",25,22.31,Incubating
44,Envoy,10,50.65,"phlax, alyssawilk, arkodg, Xunzhuo, jpsim, wbpcode, danehans, zirain, RyanTheOptimist, yanavlasov",400,49.35,50.65,"phlax, alyssawilk, arkodg, Xunzhuo, jpsim, wbpcode, danehans, zirain, RyanTheOptimist, yanavlasov",400,49.35,Graduated
45,Eraser,2,73.79,"pmengelbert, ashnamehrotra",5,26.21,100.0,"pmengelbert, ashnamehrotra, sozercan, shaofan, karenhchu, ofbatanur, taliamax",0,0.0,Sandbox
46,etcd,5,50.93,"ahrtr, serathius, jmhbnz, fuweid, chaochn47",196,49.07,59.17,"ahrtr, serathius, jmhbnz, fuweid, chaochn47, tjungblu, mitake, geetasg, lavacat, CaojiamingAlan",191,40.83,Graduated
47,External Secrets Operator,5,50.5,"moolen, gusfcarvalho, shuheiktgw, sebagomez, domizei385",136,49.5,57.29,"moolen, gusfcarvalho, shuheiktgw, sebagomez, domizei385, IdanAdar, Shanti-G, eminalemdar, moritzjohner-form3, vsroy",131,42.71,Sandbox
48,FabEdge,1,100.0,yanjianbo1983,0,0.0,100.0,yanjianbo1983,0,0.0,Sandbox
49,Falco,7,52.38,"FedeDP, jasondellaluce, Andreagit97, LucaGuerra, leogr, alacuku, Issif",193,47.62,63.64,"FedeDP, jasondellaluce, Andreagit97, LucaGuerra, leogr, alacuku, Issif, incertum, loresuso, vjjmiras",190,36.36,Incubating
50,Fluentd,10,52.01,"daipom, nokute78, ashie, cosmo0920, kenhys, patrick-stephens, PettitWesley, leonardo-albertovich, edsiper, pwhelan",261,47.99,52.01,"daipom, nokute78, ashie, cosmo0920, kenhys, patrick-stephens, PettitWesley, leonardo-albertovich, edsiper, pwhelan",261,47.99,Graduated
51,Fluid,9,51.38,"cheyang, TrafalgarZZZ, zwwhdls, wangshli, xliuqq, wang-mask, fengshunli, yangjun289519474, frankleaf",258,48.62,52.87,"cheyang, TrafalgarZZZ, zwwhdls, wangshli, xliuqq, wang-mask, fengshunli, yangjun289519474, frankleaf, allenhaozi",257,47.13,Sandbox
52,Flux,7,52.8,"stefanprodan, dholbach, pjbgf, aryan9600, hiddeco, darkowlzz, makkes",146,47.2,63.47,"stefanprodan, dholbach, pjbgf, aryan9600, hiddeco, darkowlzz, makkes, somtochiama, Arhell, fluxcdbot",143,36.53,Graduated
53,Foniod,2,66.67,"ajwerner, shaneutt",1,33.33,100.0,"ajwerner, shaneutt, DerekStrickland",0,0.0,Sandbox
54,GitOps WG,2,53.93,"joshgav, cjyabraham",22,46.07,82.02,"joshgav, cjyabraham, AlexsJones, niklasbeinghaus, lianmakesthings, thschue, Jenniferstrej, HyungJune, ugho16, afflom",14,17.98,Sandbox
55,gRPC,13,50.46,"ctiller, sergiitk, drfloob, jtattermusch, ejona86, markdroth, easwars, larry-safran, apolcyn, ralphchung",423,49.54,43.49,"ctiller, sergiitk, drfloob, jtattermusch, ejona86, markdroth, easwars, larry-safran, apolcyn, ralphchung",426,56.51,Incubating
56,Harbor,5,52.75,"YangJiao0817, AllForNothing, chlins, MinerYang, zyyw",176,47.25,70.37,"YangJiao0817, AllForNothing, chlins, MinerYang, zyyw, stonezdj, wy65701436, OrlinVasilev, flbla, lengrongfu",171,29.63,Graduated
57,Headlamp,2,51.52,"joaquimrocha, illume",12,48.48,97.58,"joaquimrocha, illume, ashu8912, yolossn, lijianzhi01, vyncent-t, knrt10, blixtra, jingchu000, Jaguar-Kwok",4,2.42,Sandbox
58,Helm,65,50.28,"mattfarina, joejulian, Zhanxueyou, cpanato, wujunwei, hickeyma, cleverhu, fty4, sudermanjr, 0xff-dev",175,49.72,18.75,"mattfarina, joejulian, Zhanxueyou, cpanato, wujunwei, hickeyma, cleverhu, fty4, sudermanjr, 0xff-dev",230,81.25,Graduated
59,Hexa Policy Orchestrator,2,54.55,"saurabh-io, wfernandes",5,45.45,100.0,"saurabh-io, wfernandes, MrOrangeAndHam, barinek, coreyti, independentid, jingchu000",0,0.0,Sandbox
60,Hwameistor,2,50.83,"FloatXD, SSmallMonster",27,49.17,87.92,"FloatXD, SSmallMonster, sun7927, alexzhc, Vacant2333, buffalo1024, carlory, angel0507, windsonsea, panguicai008",19,12.08,Sandbox
61,Inclavare Containers,2,58.33,"KB5201314, houhuiting",11,41.67,93.75,"KB5201314, houhuiting, Xynnn007, jiazhang0, cheatguy, haosanzi, yishangzhang, wojiaohanliyang, StanPlatinum, jialez0",3,6.25,Sandbox
62,Inspektor Gadget,3,56.36,"mauriciovasquezbernal, alban, eiffel-fl",14,43.64,97.58,"mauriciovasquezbernal, alban, eiffel-fl, mqasimsarfraz, blanquicet, burak-ok, flyth, claudiamarcubina, wedaly, slashben",7,2.42,Sandbox
63,in-toto,3,50.36,"adityasaky, marcelamelara, lukpueh",31,49.64,76.64,"adityasaky, marcelamelara, lukpueh, TomHennen, danbev, joshuagl, MarkLodato, alanssitis, chasen-bettinger, PradyumnaKrishna",24,23.36,Incubating
64,Istio,11,51.03,"howardjohn, ericvn, zirain, hanxiaop, jacob-delgado, hzxuzhonghu, windsonsea, my-git9, kyessenov, kfaseela",459,48.97,48.82,"howardjohn, ericvn, zirain, hanxiaop, jacob-delgado, hzxuzhonghu, windsonsea, my-git9, kyessenov, kfaseela",460,51.18,Graduated
65,Jaeger,13,50.84,"yurishkuro, iblancasa, albertteoh, anshgoyalevil, mszabo-wikia, afzal442, pavolloffay, jkowall, mmorel-35, frzifus",138,49.16,46.44,"yurishkuro, iblancasa, albertteoh, anshgoyalevil, mszabo-wikia, afzal442, pavolloffay, jkowall, mmorel-35, frzifus",141,53.56,Graduated
66,K3s,3,53.01,"brandond, dereknola, manuelbuil",112,46.99,73.84,"brandond, dereknola, manuelbuil, matttrach, osodracnai, galal-hussein, rbrtbnfgl, macedogm, brooksn, vitorsavian",105,26.16,Sandbox
67,K8GB,2,53.49,"jkremser, kuritka",8,46.51,100.0,"jkremser, kuritka, ytsarev, v-esteves, somaritane, Charlie17Li, shikharcodes, ErikLundJensen, eliasbokreta, AugustasV",0,0.0,Sandbox
68,K8up,3,56.67,"ccremer, Kidswiss, glrf",11,43.33,86.67,"ccremer, Kidswiss, glrf, tobru, wejdross, anothertobi, TheBigLee, mweibel, mkotsalainen, huettner94",4,13.33,Sandbox
69,Karmada,8,51.16,"Poor12, XiShanYongYe-Chang, RainbowMango, jwcesign, chaunceyjiang, ikaven1024, calvin0327, whitewindmills",143,48.84,56.32,"Poor12, XiShanYongYe-Chang, RainbowMango, jwcesign, chaunceyjiang, ikaven1024, calvin0327, whitewindmills, lonelyCZ, helen-frank",141,43.68,Sandbox
70,KEDA,8,50.86,"JorTurFer, tomkerkhove, zroubalik, gauron99, dttung2905, v-shenoy, neelanjan00, Eldarrin",194,49.14,53.64,"JorTurFer, tomkerkhove, zroubalik, gauron99, dttung2905, v-shenoy, neelanjan00, Eldarrin, t0rr3sp3dr0, joelsmith",192,46.36,Incubating
71,Kepler,4,56.54,"SamYuan1990, rootfs, jichenjc, sunya-ch",43,43.46,83.46,"SamYuan1990, rootfs, jichenjc, sunya-ch, marceloamaral, husky-parul, KaiyiLiu1234, sthaha, vprashar2929, sallyom",37,16.54,Sandbox
72,Keptn,5,57.5,"odubajDT, mowies, bacherfl, RealAnna, StackScribe",74,42.5,77.51,"odubajDT, mowies, bacherfl, RealAnna, StackScribe, thisthat, aepfli, philipp-hinteregger, thschue, rakshitgondwal",69,22.49,Incubating
73,Keycloak,10,50.57,"ahus1, edewit, jonkoops, mposolda, pedroigor, mabartos, stianst, mhajas, shawkins, vmuzikar",317,49.43,50.57,"ahus1, edewit, jonkoops, mposolda, pedroigor, mabartos, stianst, mhajas, shawkins, vmuzikar",317,49.43,Incubating
74,Keylime,3,50.75,"stefanberger, THS-on, maugustosilva",28,49.25,84.18,"stefanberger, THS-on, maugustosilva, ansasaki, kkaarreell, aplanas, mbestavros, Koncpa, mdrocco, hustliyilin",21,15.82,Sandbox
75,Knative,11,52.49,"dprotaso, pierDipi, matzew, creydr, davidhadas, matejvasek, lkingland, nak3, lance, upodroid",211,47.51,49.53,"dprotaso, pierDipi, matzew, creydr, davidhadas, matejvasek, lkingland, nak3, lance, upodroid",212,50.47,Incubating
76,ko,3,51.72,"imjasonh, developer-guy, cpanato",33,48.28,70.11,"imjasonh, developer-guy, cpanato, mattmoor, Dentrax, dataselfservice, aidy, awakeinng33, jonjohnsonjr, y-tajiri",26,29.89,Sandbox
77,Konveyor,9,50.85,"HarikrishnanBalagopal, gildub, ibolton336, mpryc, ibragins, mturley, nachandr, pranavgaikwad, kpunwatk",76,49.15,53.74,"HarikrishnanBalagopal, gildub, ibolton336, mpryc, ibragins, mturley, nachandr, pranavgaikwad, kpunwatk, abrugaro",75,46.26,Sandbox
78,kpt,3,56.71,"sdowell, karlkfi, nan-yu",42,43.29,85.37,"sdowell, karlkfi, nan-yu, haiyanmeng, natasha41575, victorpras, mortent, tiffanny29631, xinnywinne, justinsb",35,14.63,Sandbox
79,Krustlet,5,52.17,"flavio, arronwy, linyinfeng, aochagavia, lswith",10,47.83,78.26,"flavio, arronwy, linyinfeng, aochagavia, lswith, Xynnn007, radu-matei, alias-dev, Amulyam24, astoycos",5,21.74,Sandbox
80,KubeArmor,7,54.49,"achrefbensaad, yasin-cs-ko-ak, daemon1024, rksharma95, vishnusomank, seswarrajan, Ankurk99",50,45.51,66.03,"achrefbensaad, yasin-cs-ko-ak, daemon1024, rksharma95, vishnusomank, seswarrajan, Ankurk99, kranurag7, nyrahul, Prateeknandle",47,33.97,Sandbox
81,Kubeclipper,4,53.68,"lysign, moweiwei, zhuzhenfan, x893675",13,46.32,92.46,"lysign, moweiwei, zhuzhenfan, x893675, qinyer, lixd, Metrora, Xvv-v, sacredartr, Mengchenchen",7,7.54,Sandbox
